ID;Departamento;Tasa_desocupación_Junio_agosto2023;Región;FormaPago;MontoSolicitado;Cuota;TasaSeguro;TasaEfectivaAnual;TasaNominalAnual;TasaPeriodica;Plazo;Garantia;Etapa;Proceso;ESTADO_CAUSAL;CAUSAL;Activos;Area_y/o_Empresa;Cargo_actual_o_ocupación;Cargo_Clasificado;Edad_a_la_fecha;Generación;Estrato;Gasto_mensual_totaL;Gastos_Familiares;Gastos_Obligatorios;Género;Ingresos_anuales;Ingresos_Financieros;Ingresos_Honorarios;Nicho_de_mercado;Nivel_de_Educación;Nº_de_hijos;Ocupación;Pagaduría;Pasivos;Patrimonio;PEPS;Personas_a_cargo;Profesión_Clasificada;Salario_Pensión;Segmento_Actual;Tipo_Contrato;Tipo_de_vivienda;Tipo_persona;NICHO;SECTOR_EMPLEO;Indicador_carga_1222;ASOCIADO;% Part.;RIESGO
13352304;QUINDIO;12,90%;Andina;Nomina 50%;5000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;25000000 ;NO APLICA;NINGUNO;ESCRIBIENTE;35;Millenials ;3;2080000 ; -   ; -   ;Masculino;5800000 ; -   ; -   ;Otros Nichos;Especialización;0;Empleado Público;AJ - ARMENIA;10000000 ; -   ;No;0;DERECHO;5800000 ;Preferente;Propiedad;Arrendada;Natural;Sistema Nacional de Justicia;PÚBLICO;1,001253326;Si;38,01%;Riesgo Medio
8702528;SANTANDER;8,40%;Andina;Nomina 50%;393579359;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;300000000 ;FISCALIA GENERAL;Fiscal;FISCAL;50;X;4;8000000 ;2560476 ;4998985 ;Femenino;15000000 ;381414 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Especialización;0;Empleado Público;FG MAGDALENA MEDIO;390000000 ;2111574 ;Si;1;ABOGADO;15000000 ;Premium;Provisionalidad;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;0,414763115;Si;1,57%;Riesgo Alto
36562877;SANTANDER;8,40%;Andina;Nomina 50%;95000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;35000000 ;RAMA JUDICIAL;Juez;JUEZ;63;Baby Boomers;4;8807156 ;1436444 ;5386737 ;Masculino;9490863 ;381414 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;AJ - BUCARAMANGA;238025000 ;2111574 ;Si;2;ABOGADO;9490863 ;Preferente;Termino fijo;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;2,259913043;Si;60,66%;Riesgo Bajo
39095429;ATLANTICO;8,50%;Caribe;Nomina 50%;20528208;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;1000000 ;FISCALIA GENERAL;Asistente Fiscal;ASISTENTE;64;Baby Boomers;2;2252641 ;523302 ;679648 ;Masculino;5039812 ;381414 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Técnico;0;Empleado Público;FG_ BARRANQUILLA;100000000 ;2111574 ;No;1;DERECHO;5039812 ;Preferente;Término indefinido;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;1,21;No;48,13%;Riesgo Alto
80218381;ATLANTICO;8,50%;Caribe;Nomina 50%;50000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;600000000 ;RAMA JUDICIAL;NINGUNO;JUEZ;55;X;5;14878842 ; -   ; -   ;Femenino;8737190 ; -   ; -   ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;AJ - CARTAGENA;0 ; -   ;No;1;DERECHO;8737190 ;Preferente;Término indefinido;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;0,441418752;Si;65,86%;Riesgo Alto
94390830;ATLANTICO;8,50%;Caribe;Nomina 50%;28500000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;60000000 ;RAMA JUDICIAL;Secretario(A);SECRETARIO (A);46;X;3;388925 ;523302 ;1065860 ;Femenino;3037813 ;381414 ;60030 ;Rama Judicial;Universitario;1;Empleado Público;AJ - STA MARTA;55668036 ;2111574 ;No;1;ABOGADO;3037813 ;Clasico;Termino fijo;Propia;Natural;#N/D;PÚBLICO;1,21;No;48,13%;Riesgo Alto
19470840;Bogotá D.C;9,20%;Bogota.DC;Nomina 50%;27700000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;10000000 ;RAMA JUDICIAL;ESCRIBIENTE;ESCRIBIENTE;42;X;3;2259905 ;4064086 ;463327 ;Masculino;1995000 ;1008000 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;ADMINISTRACION JUDICIAL BOGOTA CUNDINAMARCA;3000000 ;2111574 ;No;0;ADMINISTRADOR;1995000 ;Clasico;Término indefinido;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;1,21;Si;48,13%;Riesgo Alto
63299234;Bogotá D.C;9,20%;Bogota.DC;Nomina 50%;26000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;4174788 ;RAMA JUDICIAL;OFICIAL MAYOR;OFICIAL;48;X;2;2252785 ;1422682 ;464062 ;Masculino;2355635 ;1665133 ;60030 ;Otros Nichos;Universitario;0;Empleado Público;AJ -CALI;91930000 ;2111574 ;No;0;SIN INFORMACIÓN;2355635 ;Clasico;Término indefinido;Propia;Natural;OTROS NICHOS;OTRO_SECTOR;1,21;No;48,13%;Riesgo Alto
63503707;Bogotá D.C;9,20%;Bogota.DC;Nomina 50%;35000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;10000 ;RAMA JUDICIAL;Citador;CITADOR;62;X;3;2082635 ;523302 ;698630 ;Masculino;3128112 ;381414 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Secundaria;0;Empleado Público;ADMINISTRACION JUDICIAL BOGOTA CUNDINAMARCA;10000 ;2111574 ;No;0;SIN INFORMACIÓN;3128112 ;Clasico;Término indefinido;Familiar;Natural;Rama Ejecutiva;PÚBLICO;0,282657002;Si;100,00%;Riesgo Medio
63361415;SANTANDER;8,40%;Andina;Nomina 50%;36000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;119673936 ;NO APLICA;NINGUNO;NINGUNO;53;X;3;1976755 ;523302 ;679648 ;NR;4775305 ;381414 ;60030 ;Otros Nichos;Ninguno;0;sin informacion;SIN PAGADURIA;55668036 ;2111574 ;No;1;SIN INFORMACIÓN;4775305 ;Sin información;Sin información;Sin Información;Natural;Rama Ejecutiva;PÚBLICO;0,682162972;Si;87,20%;Riesgo Alto
13853594;SANTANDER;8,40%;Andina;Nomina 50%;20000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;100000000 ;NO APLICA;NINGUNO;ENFERMERO(A);49;X;3;485000 ; -   ; -   ;Femenino;1552400 ; -   ; -   ;Otros Nichos;Técnico;0;Empleado Público;SIN PAGADURIA;80000000 ; -   ;No;0;SIN INFORMACIÓN;1552400 ;Clasico;Provisionalidad;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;1,21;Si;48,13%;Riesgo Alto
1232888040;SANTANDER;8,40%;Andina;Nomina 50%;30000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;100000 ;NO APLICA;NINGUNO;AUXILIAR;53;X;3;181985 ; -   ; -   ;Femenino;1512900 ; -   ; -   ;Otros Nichos;Tecnólogo;0;Empleado Público;SIN PAGADURIA;10000000 ;20000000 ;No;0;SIN INFORMACIÓN;1512900 ;Clasico;Termino fijo;Arrendada;Natural;OTROS NICHOS;OTRO_SECTOR;1,21;No;48,13%;Riesgo Alto
63394341;SANTANDER;8,40%;Andina;Nomina 50%;4000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;100000000 ;RAMA JUDICIAL;NINGUNO;SECRETARIO (A);42;X;3;2029339 ; -   ; -   ;Masculino;5756368 ; -   ; -   ;Rama Judicial;Universitario;0;Empleado Público;AJ - BUCARAMANGA;80000000 ; -   ;No;3;DERECHO;5756368 ;Clasico;Propiedad;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;1,925663547;Si;83,52%;Riesgo Alto
37330751;SANTANDER;8,40%;Andina;Nomina 50%;31300000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;150000000 ;NO APLICA;NINGUNO;ASISTENTE;26;Millenials ;3; -   ;523302 ;679648 ;Masculino; -   ;381414 ;60030 ;Otros Nichos;Tecnólogo;0;Empleado Privado;SIN PAGADURIA;0 ;2111574 ;No;0;DERECHO; -   ;Clasico;Provisionalidad;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;0,36451718;Si;95,32%;Riesgo Alto
37723093;SANTANDER;8,40%;Andina;Nomina 50%;47191785;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;100000000 ;PALACIO DE JUSTICIA;NINGUNO;ASISTENTE;51;X;3;114236 ; -   ; -   ;Femenino;2449184 ; -   ; -   ;SISTEMA NACIONAL DE JUSTICIA;Secundaria;0;Empleado Público;AJ - BUCARAMANGA;80000000 ; -   ;No;0;NINGUNO;2449184 ;Clasico;Provisionalidad;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;1,21;Si;48,13%;Riesgo Alto
1144128557;SANTANDER;8,40%;Andina;Nomina 50%;139288587;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;4000000 ;DEFENSORIA DEL PUEBLO;Profesional;NINGUNO;46;X;3;1761336 ;523302 ;1132023 ;Femenino;1564690 ;2053655 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;DEFENSORIA DEL PUEBLO;55668036 ;2111574 ;No;2;ABOGADO;1564690 ;Clasico;Término indefinido;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;1,052332087;Si;0,89%;Riesgo Alto
37578025;SANTANDER;8,40%;Andina;Nomina 50%;156000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;9000000 ;RAMA JUDICIAL;Juez;JUEZ;44;X;3;746001 ;1424614 ;6248081 ;Femenino;4816913 ;3547628 ;1445075 ;SISTEMA NACIONAL DE JUSTICIA;Especialización;0;Empleado Público;AJ - BUCARAMANGA;55668036 ;2111574 ;Si;3;ABOGADO;4816913 ;Preferente;Término indefinido;Propia;Natural;#N/D;PÚBLICO;1,21;No;48,13%;Riesgo Alto
91513888;SANTANDER;8,40%;Andina;Nomina 50%;80000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;10000 ;NO APLICA;NINGUNO;ESCRIBIENTE;34;Millenials ;3;10000 ;1706484 ;92931 ;Masculino;2323288 ;381414 ;1561829 ;Otros Nichos;Universitario;0;Empleado Público;AJ - BUCARAMANGA;0 ;2111574 ;No;0;SIN INFORMACIÓN;2323288 ;Clasico;Término indefinido;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;0,168221196;Si;57,35%;Riesgo Alto
40514113;SANTANDER;8,40%;Andina;Nomina 50%;4000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;10000 ;NO APLICA;NINGUNO;PENSIONADO;39;Millenials ;3;10000 ;523302 ;679648 ;Femenino;2209679 ;381414 ;60030 ;Otros Nichos;Universitario;0;Pensionado;SIN PAGADURIA;10000 ;2111574 ;No;2;SIN INFORMACIÓN;2209679 ;Clasico;Sin información;Propia;Natural;Pensionados;PENSIONADOS;0,558146342;Si;89,15%;Riesgo Medio
16219434;SANTANDER;8,40%;Andina;Nomina 50%;100000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;200000000 ;RAMA JUDICIAL;Juez;JUEZ;41;Millenials ;3;1000000 ; -   ; -   ;Masculino;5000000 ; -   ; -   ;SISTEMA NACIONAL DE JUSTICIA;Especialización;0;Empleado Público;AJ - BUCARAMANGA;35000000 ;2111574 ;Si;0;DERECHO;5000000 ;Preferente;Término indefinido;Propia;Natural;#N/D;PÚBLICO;1,21;No;48,13%;Riesgo Alto
1112476058;SANTANDER;8,40%;Andina;Nomina 50%;71000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;100000000 ;NO APLICA;DOCENTE;DOCENTE (A);60;X;5;3412131 ; -   ; -   ;Femenino;4398643 ; -   ; -   ;Otros Nichos;Maestría;0;Empleado Público;SECRETARIA DE EDUCACIÓN MUNICIPIO DE BUCARAMANGA;130000000 ; -   ;No;0;DOCENTE;4398643 ;Clasico;Propiedad;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;1,21;Si;48,13%;Riesgo Alto
66776948;Valle del Cauca;10,90%;Pacífico;Nomina 50%;38233156;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;10000 ;INPEC  BOGOTA;NINGUNO;PENSIONADO;57;X;3;10000 ;697376 ;172200 ;Masculino;1749648 ;381414 ;60030 ;INPEC;Secundaria;0;Pensionado;COLPENSIONES;10000 ;2111574 ;No;0;CONTADOR-COSTOS-AUDITORIA;1749648 ;Preferente;Término indefinido;Arrendada;Natural;Sistema Nacional de Justicia;PÚBLICO;0,976965377;Si;93,47%;Riesgo Medio
34560744;Valle del Cauca;10,90%;Pacífico;Nomina 50%;100000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;36000000 ;RAMA JUDICIAL;Sustanciador;AUXILIAR;31;Millenials ;3;600001 ;2242426 ;924641 ;Masculino;3757612 ;381414 ;2773094 ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;AJ -CALI;5000000 ;2111574 ;No;0;SIN INFORMACIÓN;3757612 ;Preferente;Sin información;Familiar;Natural;Magisterio;PÚBLICO;0,372106261;Si;29,53%;Riesgo Bajo
1144063545;Valle del Cauca;10,90%;Pacífico;Nomina 50%;24986617;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;50000000 ;NO APLICA;NINGUNO;PROFESIONAL;48;X;3;5214505 ;523302 ;679648 ;Femenino;7232944 ;381414 ;60030 ;Otros Nichos;Especialización;1;Empleado Público;INSTITUTO NAL DE MEDICINA LEGAL Y CIENCIAS FORENCES;162812000 ; -   ;No;0;DERECHO;7232944 ;Preferente;Termino fijo;Propia;Natural;OTROS NICHOS;OTRO_SECTOR;1,21;No;48,13%;Riesgo Alto
3806425;Valle del Cauca;10,90%;Pacífico;Nomina 50%;7000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;100000000 ;NO APLICA;NINGUNO;AUXILIAR DE VENTAS;51;X;3;400000 ; -   ; -   ;Femenino;1980958 ; -   ; -   ;Otros Nichos;Universitario;0;Empleado Público;GOBERNACION DEL VALLE;37000000 ; -   ;No;0;SIN INFORMACIÓN;1980958 ;Clasico;En carrera;Arrendada;Natural;Sistema Nacional de Justicia;PÚBLICO;0,55345944;Si;0,19%;Riesgo Alto
5461549;Valle del Cauca;10,90%;Pacífico;Nomina 50%;60000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;119673936 ;NO APLICA;NINGUNO;OFICIAL;30;Millenials ;4;1976755 ;1627689 ;557702 ;Femenino;2475536 ;381414 ;1699252 ;Otros Nichos;Especialización;0;Empleado Público;AJ -CALI;55668036 ;2111574 ;No;0;SIN INFORMACIÓN;2475536 ;Preferente;Término indefinido;Propia;Natural;Magisterio;PÚBLICO;1,21;Si;48,13%;Riesgo Alto
23582715;BOLIVAR;10,40%;Caribe;Nomina 50%;42500000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;150000000 ;PROCURADURIA;OFICINISTA;OFICIAL;44;X;3;1410939 ; -   ; -   ;Masculino;2369941 ; -   ; -   ;PROCURADURÍA;Universitario;0;Empleado Público;PROCURADURIA GENERAL DE LA NACION;79360000 ; -   ;No;0;CONTADOR-COSTOS-AUDITORIA;2369941 ;Clasico;Termino fijo;Familiar;Natural;Sistema Nacional de Justicia;PÚBLICO;0,492267451;Si;100,00%;Riesgo Bajo
23496397;BOLIVAR;10,40%;Caribe;Nomina 50%;68524571;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;45000000 ;RAMA JUDICIAL;Auxiliar;ABOGADO (A);37;Millenials ;2;2739841 ;1303406 ;1079262 ;Masculino;4803279 ;381414 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;AJ - CARTAGENA;55668036 ;2111574 ;No;0;ADMINISTRADOR;4803279 ;Clasico;Termino fijo;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;0,440047214;Si;3,48%;Riesgo Bajo
15903736;Norte de Santander;10,70%;Andina;Nomina 50%;35000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;10000 ;NO APLICA;NINGUNO;DOCENTE (A);63;Baby Boomers;3;2054000 ;523302 ;679648 ;Masculino;3862197 ;381414 ;60030 ;Otros Nichos;Especialización;0;Pensionado;GOBERN NORTE STADER Y/O SECRET;10000 ;2111574 ;No;6;SIN INFORMACIÓN;3862197 ;Clasico;Termino fijo;Arrendada;Natural;Sistema Nacional de Justicia;PÚBLICO;2,307137718;Si;62,70%;Riesgo Medio
43993088;BOYACA;9,50%;Andina;Nomina 50%;200000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;200000000 ;FISCALIA GENERAL;Fiscal;FISCAL;46;X;2;5478874 ;1612887 ;3699825 ;Femenino;7732042 ;381414 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Universitario;0;Empleado Público;FG_ TUNJA;55668036 ;2111574 ;No;1;ABOGADO;7732042 ;Preferente;Término indefinido;Propia;Natural;Sistema Nacional de Justicia;PÚBLICO;1,21;Si;48,13%;Riesgo Alto
19145269;BOYACA;9,50%;Andina;Nomina 50%;90000000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;275000000 ;FISCALIA GENERAL;NINGUNO;PROFESIONAL;54;X;3;2000000 ; -   ; -   ;Femenino;6224097 ; -   ; -   ;SISTEMA NACIONAL DE JUSTICIA;Especialización;0;Empleado Público;FG_ TUNJA;25000000 ; -   ;No;0;DERECHO;6224097 ;Clasico;Término indefinido;Propia;Natural;#N/D;PÚBLICO;1,21;No;48,13%;Riesgo Alto
12979071;Caldas;9,00%;Andina;Nomina 50%;3240000;536093;3,16;30,51;32,5;2,19;59;NR;Negados;DIGITAL;Causal 1;Solicitudes rechazadas por flujo de caja deudor;60000000 ;RAMA JUDICIAL;Escribiente;ESCRIBIENTE;61;X;2;393806 ;523302 ;519285 ;Masculino;1303346 ;455435 ;60030 ;SISTEMA NACIONAL DE JUSTICIA;Tecnólogo;0;Empleado Público;AJ - MANIZALES;55668036 ;2111574 ;No;3;TECNOLOGO;1303346 ;Preferente;Término indefinido;Arrendada;Natural;Sistema Nacional de Justicia;PÚBLICO;0,399517468;Si;13,63%;Riesgo Bajo
